epoch,loss,acc
1,0.6352342560484603,0.661036036036036
2,0.6080057151145764,0.6655405405405406
3,0.5862369062127294,0.7015765765765766
4,0.569490643771919,0.7212837837837838
5,0.5538278745638358,0.7297297297297297
6,0.5475917482698286,0.7404279279279279
7,0.5364473819195688,0.740990990990991
8,0.5352333137043962,0.7483108108108109
9,0.5283427576760988,0.7488738738738738
10,0.5265721890840445,0.7556306306306306
11,0.519905711079503,0.7528153153153153
12,0.5194310846629443,0.7466216216216216
13,0.5147942468389735,0.7584459459459459
14,0.5092750037307138,0.7584459459459459
15,0.5030185639321267,0.7612612612612613
16,0.5006287097930908,0.7652027027027027
17,0.49917842380635374,0.7753378378378378
18,0.501142350537283,0.7545045045045045
19,0.496664831364477,0.7635135135135135
20,0.49045156210929425,0.777027027027027
21,0.48392512588887604,0.776463963963964
22,0.4854594536192782,0.7719594594594594
23,0.4809674149429476,0.7775900900900901
24,0.47431884075070285,0.7759009009009009
25,0.48879810080334946,0.7713963963963963
26,0.4676011881312808,0.7871621621621622
27,0.46898459421621785,0.7815315315315315
28,0.46338400593749035,0.7871621621621622
29,0.4561823968280543,0.7792792792792793
30,0.46804755751614097,0.785472972972973
31,0.45688999907390493,0.7916666666666666
32,0.4629207109814292,0.7792792792792793
33,0.4578509046150757,0.7775900900900901
34,0.44764740523454305,0.8051801801801802
35,0.45692408407056656,0.7820945945945946
36,0.4477167086558299,0.7956081081081081
37,0.43881720049424217,0.8040540540540541
38,0.43548335631688434,0.8040540540540541
39,0.4279813433552648,0.8046171171171171
40,0.43638041306723346,0.7956081081081081
41,0.4410086306365761,0.7933558558558559
42,0.42178401981925107,0.8074324324324325
43,0.42509514737773585,0.8102477477477478
44,0.42853689059480893,0.8012387387387387
45,0.4203714694794234,0.8102477477477478
46,0.41849816906022597,0.8091216216216216
47,0.40941642640947223,0.8226351351351351
48,0.40790174565873705,0.8175675675675675
49,0.42510386214062973,0.8091216216216216
50,0.4053526578454284,0.8248873873873874
51,0.4140599445850999,0.8164414414414415
52,0.4138194991124643,0.8147522522522522
53,0.40799469863240784,0.821509009009009
54,0.4000795229866698,0.8231981981981982
55,0.3936549750668509,0.8277027027027027
56,0.39268166766510354,0.8260135135135135
57,0.3913665185640524,0.8209459459459459
58,0.38065554476804564,0.8372747747747747
59,0.400707806821342,0.821509009009009
60,0.37767291887923404,0.8344594594594594
61,0.37439703337244085,0.8350225225225225
62,0.39098374062293284,0.8293918918918919
63,0.3850391079579388,0.8209459459459459
64,0.3736757948860392,0.8434684684684685
65,0.36923771036100816,0.8451576576576577
66,0.361994514795574,0.8440315315315315
67,0.3719977528393806,0.8384009009009009
68,0.35386471530875646,0.8400900900900901
69,0.3677161640680588,0.8344594594594594
70,0.3622482454588821,0.8412162162162162
71,0.36675420228962424,0.8316441441441441
72,0.3591864500362594,0.8462837837837838
73,0.34796745558311276,0.8502252252252253
74,0.36853347007218784,0.8338963963963963
75,0.35952969714327976,0.839527027027027
76,0.3487513502975842,0.847972972972973
77,0.35556868128142916,0.8457207207207207
78,0.3446569423954766,0.8513513513513513
79,0.3541380393209758,0.848536036036036
80,0.3332273619131999,0.8597972972972973
81,0.3415522543159691,0.8547297297297297
82,0.3429623574421212,0.8496621621621622
83,0.3294976732886589,0.856418918918919
84,0.334680823726697,0.848536036036036
85,0.33271327963820446,0.8592342342342343
86,0.32960220198105045,0.8530405405405406
87,0.33361741121824795,0.8536036036036037
88,0.3251014329023189,0.8569819819819819
89,0.33312842370690526,0.8507882882882883
90,0.3161051709641207,0.8626126126126126
91,0.3233920580094999,0.8643018018018018
92,0.3383302047580212,0.8451576576576577
93,0.31857342709292163,0.8592342342342343
94,0.3190370888054908,0.8665540540540541
95,0.3070843183846624,0.8637387387387387
96,0.31672437240680057,0.8699324324324325
97,0.31986028164088187,0.8603603603603603
98,0.3156870003487613,0.8721846846846847
99,0.3095147474123551,0.8614864864864865
100,0.31759672927426863,0.8643018018018018
